label	num	caption_page	first_ref_page	delta_pages
fig:scenario	1.1	1	1	0
tab:latency_budget	1.1	2	1	1
fig:error_amplify	1.2	3	2	1
fig:error_flight	1.3	3	2	1
fig:modular_vs_e2e	1.4	5	4	1
fig:task_loop	1.5	6	5	1
fig:batch_vs_stream	1.6	8	7	1
fig:complexity_compare	1.7	8	7	1
fig:roadmap	1.8	9	9	0
fig:coord_frame	2.1	11	11	0
fig:distribution_shift	2.2	14	14	0
fig:dagger_loop	2.3	15	15	0
fig:dagger_detail	2.4	15	15	0
tab:vit_complexity	2.1	17	17	0
fig:vit_patch	2.5	17	16	1
fig:mamba_overview	2.6	20	20	0
fig:ssm_block	2.7	20	20	0
tab:ssm_control_map	2.2	21	20	1
fig:attn_vs_ssm	2.8	21	21	0
tab:env_config	2.3	22	22	0
tab:expert_params	2.4	23	22	1
fig:env_screenshots	2.9	23	22	1
fig:data_pipeline	2.10	24	24	0
tab:eval_protocol_unified	2.5	24	24	0
tab:metric_def	2.6	25	24	1
fig:collision_edge	2.11	26	25	1
tab:route_compare	2.7	29	29	0
fig:ch3_structure	3.1	31	31	0
fig:arch_overview	3.2	32	32	0
tab:vit_tensor_ch3	3.1	33	32	1
tab:mamba_config_ch3	3.2	33	33	0
tab:latency_profile	3.3	35	34	1
tab:dagger_config_ch3	3.4	36	35	1
tab:dagger_speed_dist	3.5	36	35	1
fig:racs_projection	3.3	38	38	0
fig:delta_schedule	3.4	39	38	1
tab:racs_params	3.6	39	38	1
tab:train_config_ch3	3.7	41	40	1
fig:main_results_ch3	3.5	42	41	1
tab:main_spheres_ch3	3.8	42	42	0
fig:dt_dist_ch3	3.6	43	42	1
tab:main_trees_ch3	3.9	43	42	1
fig:dagger_d1_ch3	3.7	44	43	1
fig:dagger_d2_ch3	3.8	45	43	2
fig:dagger_d3_ch3	3.9	45	45	0
fig:dagger_d5_ch3	3.10	46	45	1
fig:dagger_d4_ch3	3.11	46	46	0
fig:dagger_d6_ch3	3.12	46	45	1
fig:dagger_d7_ch3	3.13	47	45	2
fig:racs_results_ch3	3.14	48	47	1
fig:jerk_motivation_ch3	3.15	48	47	1
tab:ablation_mamba_layers	3.10	49	47	2
tab:ablation_burnin	3.11	49	49	0
tab:ablation_jerk	3.12	49	49	0
fig:ch4_structure	4.1	53	52	1
tab:state_analogy	4.1	55	55	0
fig:degradation_chain	4.2	56	56	0
fig:state_machine	4.3	57	56	1
fig:batch_stream_timeline	4.4	57	56	1
tab:common_bugs	4.2	58	58	0
tab:equiv_test_config	4.3	60	59	1
tab:audit_log_fields	4.4	61	61	0
tab:state_ablation_ch4	4.5	62	62	0
fig:drift_ch4	4.5	63	62	1
fig:lateral_drift_ch4	4.6	63	62	1
tab:lstm_state_ablation	4.6	64	62	2
fig:equiv_test_ch4	4.7	64	64	0
tab:reset_freq_ablation	4.7	65	65	0
tab:deploy_burnin_ablation	4.8	65	65	0
tab:keepreset_speed	4.9	66	66	0
tab:control_var	5.1	69	68	1
tab:mv_safety	5.2	70	69	1
tab:mv_efficiency	5.3	70	69	1
